"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades"
"TCS","EQ","02-Mar-2016","       2276.65","       2305.00","       2330.00","       2256.25","       2320.10","       2318.85","       2288.84","     763743","      17480.82","      42118"
"TCS","EQ","03-Mar-2016","       2318.85","       2336.00","       2391.00","       2301.00","       2369.40","       2373.15","       2356.33","    1324142","      31201.10","      61441"
"TCS","EQ","04-Mar-2016","       2373.15","       2380.00","       2380.00","       2349.55","       2369.85","       2357.55","       2362.52","     756483","      17872.09","      32716"
"TCS","EQ","08-Mar-2016","       2357.55","       2342.10","       2367.00","       2304.20","       2351.00","       2354.30","       2342.85","     634076","      14855.47","      33078"
"TCS","EQ","09-Mar-2016","       2354.30","       2341.00","       2369.40","       2295.15","       2360.00","       2357.25","       2326.68","    1008892","      23473.66","      45459"
"TCS","EQ","10-Mar-2016","       2357.25","       2356.05","       2359.85","       2314.95","       2347.00","       2348.30","       2329.26","     830833","      19352.29","      47391"
"TCS","EQ","11-Mar-2016","       2348.30","       2340.00","       2390.85","       2335.00","       2360.00","       2365.25","       2369.33","     765264","      18131.61","      60976"
"TCS","EQ","14-Mar-2016","       2365.25","       2362.00","       2398.00","       2340.00","       2346.10","       2355.00","       2361.38","     818371","      19324.84","      50401"
"TCS","EQ","15-Mar-2016","       2355.00","       2349.05","       2363.50","       2320.10","       2330.25","       2329.90","       2333.27","     811678","      18938.65","      34040"
"TCS","EQ","16-Mar-2016","       2329.90","       2315.00","       2332.00","       2306.90","       2323.55","       2327.05","       2320.16","     959123","      22253.15","      47662"
"TCS","EQ","17-Mar-2016","       2327.05","       2334.00","       2361.80","       2332.00","       2349.00","       2352.05","       2347.85","    1110544","      26073.91","      51558"
"TCS","EQ","18-Mar-2016","       2352.05","       2360.00","       2430.00","       2360.00","       2421.40","       2425.85","       2408.60","    1602035","      38586.69","     102942"
"TCS","EQ","21-Mar-2016","       2425.85","       2426.00","       2454.95","       2420.00","       2449.05","       2446.25","       2434.69","    1168491","      28449.19","      68915"
"TCS","EQ","22-Mar-2016","       2446.25","       2442.00","       2485.00","       2436.50","       2470.65","       2473.10","       2456.21","     975992","      23972.40","      63517"
